StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0
19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3
19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2
19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0
19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3
19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2
19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0
19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3
19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2
19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0
19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3
19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2
19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0
24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3
24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1
24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0
24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3
24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1
24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0
24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3
24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1
24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0
24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3
24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1
24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0
29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3
29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3
29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2
29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3
29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3
29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0
19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3
19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0
19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3
19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0
19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3
19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0
29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3
29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2
29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3
29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2
25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2
25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2
17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0
17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0
17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0
17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0
17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0
